iter	Passed	Remaining
401	13225	19674
402	13262	19647
403	13297	19616
404	13328	19581
405	13358	19544
406	13385	19502
407	13417	19469
408	13451	19437
409	13478	19395
410	13511	19363
411	13542	19328
412	13581	19303
413	13609	19264
414	13638	19225
415	13666	19186
416	13694	19146
417	13727	19113
418	13757	19076
419	13787	19040
420	13821	19009
421	13857	18979
422	13888	18945
423	13918	18907
424	13947	18869
425	13981	18838
426	14015	18807
427	14045	18771
428	14075	18734
429	14108	18702
430	14141	18668
431	14172	18634
432	14202	18598
433	14229	18557
434	14259	18520
435	14294	18491
436	14324	18454
437	14353	18416
438	14384	18382
439	14417	18349
440	14447	18313
441	14476	18276
442	14508	18242
443	14539	18207
444	14571	18174
445	14603	18139
446	14634	18104
447	14664	18068
448	14698	18037
449	14731	18004
450	14758	17965
451	14790	17931
452	14818	17893
453	14845	17854
454	14873	17815
455	14899	17775
456	14929	17739
457	14959	17702
458	14988	17666
459	15023	17635
460	15055	17602
461	15082	17563
462	15114	17530
463	15146	17496
464	15178	17463
465	15217	17438
466	15254	17409
467	15286	17377
468	15321	17346
469	15351	17310
470	15380	17274
471	15411	17240
472	15441	17204
473	15470	17167
474	15501	17133
475	15536	17103
476	15567	17069
477	15595	17031
478	15621	16990
479	15655	16960
480	15689	16929
481	15719	16893
482	15751	16860
483	15782	16825
484	15817	16796
485	15851	16764
486	15881	16729
487	15911	16694
488	15940	16657
489	15970	16622
490	16004	16591
491	16035	16556
492	16071	16527
493	16102	16493
494	16131	16457
495	16163	16423
496	16190	16386
497	16219	16350
498	16247	16312
499	16282	16282
500	16319	16254
501	16350	16220
502	16393	16197
503	16429	16168
504	16466	16140
505	16509	16118
506	16547	16091
507	16579	16057
508	16609	16021
509	16642	15989
510	16673	15955
511	16703	15920
512	16743	15895
513	16774	15860
514	16806	15827
515	16836	15792
516	16868	15759
517	16899	15724
518	16928	15689
519	16959	15654
520	16989	15619
521	17018	15583
522	17049	15549
523	17083	15518
524	17117	15487
525	17149	15454
526	17182	15421
527	17214	15388
528	17246	15355
529	17276	15320
530	17305	15284
531	17332	15247
532	17371	15220
533	17401	15186
534	17436	15155
535	17469	15122
536	17500	15088
537	17532	15055
538	17565	15023
539	17594	14988
540	17626	14954
541	17657	14920
542	17682	14882
543	17711	14846
544	17741	14812
545	17773	14778
546	17796	14738
547	17832	14708
548	17859	14671
549	17891	14638
550	17924	14605
551	17952	14569
552	17987	14539
553	18019	14506
554	18046	14469
555	18078	14436
556	18113	14406
557	18145	14373
558	18174	14338
559	18207	14305
560	18234	14269
561	18264	14234
562	18291	14197
563	18319	14161
564	18348	14127
565	18377	14091
566	18413	14061
567	18448	14031
568	18477	13995
569	18508	13962
570	18539	13929
571	18570	13895
572	18606	13865
573	18638	13832
574	18668	13798
575	18698	13764
576	18732	13733
577	18764	13699
578	18791	13663
579	18830	13635
580	18859	13600
581	18890	13567
582	18919	13532
583	18948	13497
584	18976	13462
585	19008	13429
586	19039	13395
587	19072	13363
588	19103	13330
589	19135	13297
590	19164	13262
591	19194	13228
592	19230	13198
593	19260	13164
594	19293	13132
595	19321	13097
596	19354	13065
597	19386	13032
598	19416	12998
599	19447	12965
600	19478	12931
601	19510	12898
