iter	Logloss
327	0.3890644792
328	0.3888090609
329	0.3886124246
330	0.3884011639
331	0.3882539765
332	0.3881026379
333	0.3878478718
334	0.3876342021
335	0.3874140128
336	0.3872551393
337	0.3869951108
338	0.3867565555
339	0.3865377764
340	0.3863297852
341	0.3860286964
342	0.3857138668
343	0.385415511
344	0.3852838543
345	0.3851049908
346	0.3849619122
347	0.3846643469
348	0.3843594967
349	0.3840710835
350	0.3838469729
351	0.3835542474
352	0.3833854651
353	0.3830825848
354	0.3826518395
355	0.3823747542
356	0.382161542
357	0.3817587074
358	0.3814874204
359	0.3811171477
360	0.3808633933
361	0.3806555958
362	0.3804428209
363	0.3802732413
364	0.3800956186
365	0.3799008054
366	0.3797993023
367	0.3796247802
368	0.3792716575
369	0.3789892681
370	0.3787949836
371	0.3786312368
372	0.3784145939
373	0.3781429436
374	0.3779317894
375	0.3777427498
376	0.3775132194
377	0.3773218073
378	0.376988667
379	0.3768619529
380	0.3765922751
381	0.3765254444
382	0.3762921364
383	0.3760861697
384	0.3758622366
385	0.3756721921
386	0.3754174293
387	0.3752207803
388	0.3750212957
389	0.3749455861
390	0.3747696878
391	0.3745238584
392	0.3742709309
393	0.373939779
394	0.3737874095
395	0.3735406854
396	0.3733153051
397	0.3731610583
398	0.3729822937
399	0.3726584461
400	0.3724792416
401	0.3723612331
402	0.3720863861
403	0.3717219349
404	0.3715330432
405	0.3713415634
406	0.3711736689
407	0.3709279846
408	0.3707473419
409	0.3705913102
410	0.3703697002
411	0.3702525833
412	0.3699933414
413	0.3697757458
414	0.3695910946
415	0.3693497724
416	0.3691852286
417	0.368798019
418	0.3684730864
419	0.3682262382
420	0.3679825564
421	0.3677976999
422	0.36765655
423	0.3674906504
424	0.3673886108
425	0.3672386979
426	0.3670640427
427	0.3669684415
428	0.3668379066
429	0.3666208985
430	0.3664018398
431	0.3662447259
432	0.3660003739
433	0.365883249
434	0.3656604494
435	0.3654837985
436	0.3653050743
437	0.3651149448
438	0.3649623183
439	0.3647978375
440	0.3645691333
441	0.3643827951
442	0.3642206119
443	0.3640755113
444	0.3639393401
445	0.3637289352
446	0.3635553853
447	0.3633452615
448	0.3632138773
449	0.3629187047
450	0.3627944957
451	0.362706826
452	0.3625783487
453	0.3624146778
454	0.3622686961
455	0.3621508783
456	0.3619527221
457	0.3617996002
458	0.3615966038
459	0.3612637537
460	0.3611272287
461	0.361029228
462	0.3608281588
463	0.360698386
464	0.3605020352
465	0.3602751941
466	0.3600589123
467	0.3598594666
468	0.3595792244
469	0.3594109406
470	0.3592273377
471	0.3590358902
472	0.3589082981
473	0.3586829966
474	0.3584285813
475	0.357905984
476	0.3576811783
477	0.3574480747
478	0.3573494618
479	0.3570759099
480	0.3568692642
481	0.356674603
482	0.3564694743
483	0.356302793
484	0.3560826601
485	0.3558571781
486	0.3557077345
487	0.3555034104
488	0.3553436896
489	0.3552239186
490	0.3549129415
491	0.3547131549
492	0.354585397
493	0.3544185089
494	0.3543196402
495	0.3542017569
496	0.3540693781
497	0.3538573783
498	0.353741136
499	0.353499158
500	0.3532717523
501	0.3530481343
502	0.3527428515
503	0.3526246961
504	0.352496288
505	0.3523178565
506	0.3521560272
507	0.3519265927
508	0.3517638557
509	0.351470479
510	0.3513107146
511	0.3512131238
512	0.3511008262
513	0.3508843531
514	0.3507206263
515	0.3505924161
516	0.3504097425
517	0.3502751491
518	0.350163807
519	0.3500413092
520	0.3498773479
521	0.3496591219
522	0.3495303903
523	0.3493322638
524	0.3491140209
525	0.3490709229
526	0.3489256209
527	0.3488054428
528	0.3486720051
529	0.3485832632
530	0.3484605119
531	0.3483289661
532	0.3481236351
533	0.3480368716
534	0.3478421684
535	0.3476899138
536	0.3474445789
537	0.3473041236
538	0.3471974938
539	0.3470485639
540	0.3468580324
541	0.3467426027
542	0.3466674139
543	0.3464742828
544	0.3462791712
545	0.3461411627
546	0.346129751
547	0.3458808346
548	0.345790969
549	0.3456741498
550	0.3455453508
551	0.3454516621
552	0.3453234676
553	0.3450915563
554	0.3449580146
555	0.3446930829
556	0.3445637134
557	0.3443508127
558	0.3441920227
559	0.3440386976
560	0.3439950794
561	0.3438296373
562	0.3436277523
563	0.3435076772
564	0.3433856996
565	0.3433008436
566	0.3431374756
567	0.3430055537
568	0.3428936682
569	0.3426721651
570	0.3425282319
571	0.3423830727
572	0.3422147075
573	0.3420310486
574	0.341859441
575	0.3416956313
576	0.3414507975
577	0.34130815
578	0.3411917402
579	0.3410849797
580	0.341036528
581	0.3409325445
582	0.3408402887
583	0.3407288218
584	0.3406333679
585	0.3404486485
586	0.3403692934
587	0.3402000609
588	0.3400276092
589	0.3398778678
590	0.3398198201
591	0.3396909614
592	0.33954076
593	0.3394411162
594	0.3392316239
595	0.3391191293
596	0.3389523997
597	0.3388475788
598	0.3387010676
599	0.3385984751
600	0.3384101359
601	0.3381965683
602	0.3380537828
603	0.3378801121
604	0.3377061953
605	0.3375689727
606	0.3374873387
607	0.3373489797
608	0.3372076306
609	0.3370073232
610	0.3368977906
611	0.3367889865
612	0.3366732952
613	0.3365074917
614	0.336285091
615	0.3361860722
616	0.3360373744
617	0.3358790003
618	0.3357217407
619	0.3356044265
620	0.3354696151
621	0.3354595186
622	0.3351496632
623	0.3350294233
624	0.3348848799
625	0.3347499195
626	0.3345530322
627	0.3343884046
628	0.3343042347
629	0.3340498402
630	0.333806071
631	0.3336068746
632	0.3335114812
633	0.3334862664
634	0.333411603
635	0.3333529128
636	0.3331660522
637	0.333022665
638	0.3329600382
639	0.3328090972
640	0.3327214464
641	0.3326137668
642	0.3324480673
643	0.3322218948
644	0.332129045
645	0.3320391469
646	0.331912239
647	0.3316865234
648	0.3315728075
649	0.3314930449
650	0.3314036851
651	0.3313178038
652	0.3312448889
653	0.3310494729
654	0.3309372243
655	0.330870693
656	0.330651633
657	0.3304526608
658	0.3303435438
659	0.3302246452
660	0.3301170295
661	0.330025301
662	0.3299556392
663	0.3298367249
664	0.3297460751
665	0.3295953668
666	0.3295292175
667	0.3293302962
668	0.3293149608
669	0.3291724345
670	0.3290129792
671	0.3289087959
672	0.3287050374
673	0.3285554256
674	0.3284150587
675	0.3282969697
676	0.3281574825
677	0.3280466674
678	0.3279464399
679	0.3277110929
680	0.3275460982
681	0.3274722143
682	0.3273702787
683	0.327269304
684	0.3271414249
685	0.3269771745
686	0.3269026108
687	0.3267570633
688	0.32660473
689	0.3265041624
690	0.3262904221
691	0.3261893002
692	0.3259224967
693	0.3257609462
694	0.3256338883
695	0.3253949089
696	0.3253224535
697	0.3252102128
698	0.3251260687
699	0.3250279503
700	0.3248672414
701	0.3247256049
702	0.3245882754
703	0.324472724
704	0.324282029
705	0.3241543539
706	0.324037191
707	0.3239306861
708	0.3238192923
709	0.3237382726
710	0.3234833428
711	0.3233330067
712	0.3232415046
713	0.3231142593
714	0.3229335965
715	0.3227834195
716	0.3226409566
717	0.3225147924
718	0.3224137686
719	0.3223084051
720	0.3222884675
721	0.3222501035
722	0.3221256307
723	0.3220057975
724	0.3218682928
725	0.3217938098
726	0.3216866728
727	0.3215851325
728	0.321473461
729	0.3213590924
730	0.3213246527
731	0.3212149685
732	0.3210919633
733	0.321013291
734	0.3208767435
735	0.3207070909
736	0.3205437039
737	0.3204450467
738	0.3203350635
739	0.3201630429
740	0.3200913654
741	0.3200166454
742	0.3199277587
743	0.3198124615
744	0.3196803926
745	0.3195775282
746	0.3195335079
747	0.3194536418
748	0.3193208424
749	0.3191635354
750	0.3190564713
751	0.3188827155
752	0.3186845986
753	0.3185378876
754	0.3184081115
755	0.3183120909
756	0.318209634
757	0.3181152909
758	0.3179935297
759	0.3178903099
760	0.3177342388
761	0.3175373587
762	0.3174520341
763	0.3173695737
764	0.3172177271
765	0.3170949035
766	0.3169528828
767	0.3168346229
768	0.3167137585
769	0.3165391698
770	0.3164254136
771	0.3162855117
772	0.3161746088
773	0.3161587165
774	0.315986459
775	0.3158854328
776	0.3157663459
777	0.3157080145
778	0.3155374889
779	0.3153676029
780	0.3152118113
781	0.3151574587
782	0.3150465039
783	0.3149800485
784	0.3148461402
785	0.3147163983
786	0.3146377557
787	0.3144610299
788	0.3143218614
789	0.3141833853
790	0.3140883325
791	0.3139614909
792	0.31376145
793	0.3136535803
794	0.3135410006
795	0.3134341484
796	0.3133999054
797	0.3131730829
798	0.3130729236
799	0.312923965
800	0.3128549099
801	0.3127150753
802	0.3126104646
803	0.3124822934
804	0.3123295266
805	0.3122732256
806	0.3121456972
807	0.3119106367
808	0.3118396933
809	0.3116806735
810	0.3115354389
811	0.311421511
812	0.3113417353
813	0.3111945369
814	0.3110637815
815	0.3109740096
816	0.3108345558
817	0.3107422368
818	0.310646443
819	0.3105791702
820	0.3105393459
821	0.3104091593
822	0.3102757795
823	0.3101782596
824	0.3100504287
825	0.3099292322
826	0.3097707784
827	0.3096196353
828	0.3095295321
829	0.309436965
830	0.309340365
831	0.3092863745
832	0.3091909326
833	0.3091072856
834	0.3089897651
835	0.3088794385
836	0.3087301009
837	0.3085409925
838	0.3084598332
839	0.3084035457
840	0.3083072735
841	0.3081451955
842	0.3080595339
843	0.3079356609
844	0.3078427793
845	0.3077404468
846	0.3076338716
847	0.3074901949
848	0.3073703802
849	0.3072789546
850	0.3071184465
851	0.3069998806
852	0.3069162451
853	0.3068401226
854	0.3067211247
855	0.3065231581
856	0.3064102287
857	0.3062330769
858	0.3060935647
859	0.3060158961
860	0.3058561681
861	0.3057281849
862	0.305582794
863	0.3054488146
864	0.3053319918
865	0.3051940559
866	0.3051069407
867	0.3050142158
868	0.3049204042
869	0.3047423525
870	0.3046416403
871	0.3045346702
872	0.3044317055
873	0.3043532376
874	0.3042831509
875	0.3041617105
876	0.3040501031
877	0.303932783
878	0.303819911
879	0.3037345491
880	0.3036423704
881	0.3035383294
882	0.3034361048
883	0.3033144961
884	0.3031846881
885	0.3031425042
886	0.3030000742
887	0.3028922761
888	0.3027507985
889	0.3026550078
890	0.3025992599
891	0.3025010169
892	0.3023932373
893	0.302271968
894	0.3021413234
895	0.3020629298
896	0.3019518699
897	0.3018475164
898	0.3017516569
899	0.3016408674
900	0.3015331373
901	0.3014028674
902	0.3012454386
903	0.3010710473
904	0.3009654422
905	0.3008496624
906	0.3007863803
907	0.3007373919
908	0.3006463976
909	0.3005668822
910	0.3004989503
911	0.3004017487
912	0.3003057123
913	0.3001773874
914	0.299958572
915	0.2998556072
916	0.299682971
917	0.2995903626
918	0.2995290925
919	0.2994602324
920	0.299380538
921	0.2993030815
922	0.2992287099
923	0.2991570725
924	0.2990613309
925	0.2989794873
926	0.2988818946
927	0.2987789436
928	0.2987153375
929	0.2986556719
930	0.2985522855
931	0.2984817544
932	0.2983207264
933	0.2981804103
934	0.2981092279
935	0.2979477938
936	0.2978942538
937	0.2978005835
938	0.297722933
939	0.2976367572
940	0.2975237209
941	0.2974452792
942	0.2973470026
943	0.2972189156
944	0.2971516894
945	0.2970303363
946	0.2969849504
947	0.2969074835
948	0.2968026503
949	0.2966768639
950	0.2966117555
951	0.2964594295
952	0.2963646373
953	0.2962602278
954	0.2961171889
955	0.2959727968
956	0.2958257997
957	0.2956916224
958	0.2956211047
959	0.2955507085
960	0.295382509
961	0.295257304
962	0.2951567301
963	0.2950114298
964	0.2949054418
965	0.2947903818
966	0.2946435782
967	0.2945233058
968	0.2944300361
969	0.2943770041
970	0.2943063775
971	0.2942101395
972	0.2941125672
973	0.2940177058
974	0.2939107191
975	0.2938193623
976	0.2937403118
977	0.2936623615
978	0.2935610591
979	0.2934920793
980	0.2934458305
981	0.2933677858
982	0.2932905734
983	0.2932163747
984	0.2931686922
985	0.2930291782
986	0.2928967791
987	0.2928107929
988	0.2927307179
989	0.2926389531
990	0.2925626509
991	0.2925202998
992	0.2924522798
993	0.2923863394
994	0.29219813
995	0.2921220024
996	0.2920258242
997	0.2919519032
998	0.291889098
999	0.2917694661
